flight_number,timestamp,altitude_baro,ground_speed,air_speed,latitude,longitude,track_angle,roll_angle,emergency,wind_direction,wind_speed,temperature,on_ground,lga_type,origin,destination
UAL709,7/1/2026 4:00:31 PM,5500,288,251,40.5610200000,-74.0628660000,52.3300018,-15.29,none,208,17,20,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:31 PM,4500,278.5,250,40.6853990000,-73.9596490000,35.0600014,0,none,286,16,24,F,arrival,MIA,LGA
UAL709,7/1/2026 4:00:32 PM,5500,287.4,251,40.5613860000,-74.0623780000,51.2200012,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:32 PM,5475,287.4,251,40.5618030000,-74.0617090000,51.2200012,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:33 PM,5475,287.6,251,40.5623470000,-74.0609130000,50.2200012,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:33 PM,5450,287.6,251,40.5627800000,-74.0602740000,50.2200012,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:34 PM,5450,287.1,251,40.5632630000,-74.0596310000,49.0999985,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:34 PM,5450,287.1,251,40.5635830000,-74.0591430000,49.0999985,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:35 PM,5425,286.1,251,40.5639950000,-74.0586550000,48.1199989,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:35 PM,5425,286.1,251,40.5644990000,-74.0578610000,48.1199989,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:36 PM,5400,286.6,251,40.5650610000,-74.0571520000,47.1199989,-15.29,none,208,17,20,F,arrival,ORD,LGA
SWA4044,7/1/2026 4:00:36 PM,35000,472.5,,41.3344770000,-79.2438230000,97.9100037,,none,,,,F,arrival,MDW,LGA
UAL709,7/1/2026 4:00:36 PM,5400,286.6,251,40.5655060000,-74.0565190000,47.1199989,-15.29,none,208,17,20,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:36 PM,4400,278.5,250,40.6906590000,-73.9547730000,35.0600014,0,none,286,16,24,F,arrival,MIA,LGA
UAL2133,7/1/2026 4:00:36 PM,18000,420.6,296,40.8900890000,-76.1140300000,108,-0.35,none,294,25,-4,F,arrival,IAH,LGA
UAL709,7/1/2026 4:00:37 PM,5375,285.7,251,40.5660390000,-74.0559040000,46.1300011,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:37 PM,5375,285.7,251,40.5664670000,-74.0552980000,46.1300011,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:38 PM,5350,285.7,251,40.5669700000,-74.0547180000,45,-15.29,none,,,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:38 PM,5350,285.7,251,40.5674290000,-74.0541380000,45,-15.29,none,,,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:39 PM,5325,285,251,40.5678410000,-74.0537110000,44,-15.6400003,none,,,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:39 PM,5325,285,251,40.5682070000,-74.0532230000,44,-15.6400003,none,,,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:40 PM,5300,283.9,251,40.5696240000,-74.0516590000,42,-15.6400003,none,,,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:40 PM,5325,284.4,251,40.5687560000,-74.0526730000,43.0099983,-15.6400003,none,,,20,F,arrival,ORD,LGA
AAL1056,7/1/2026 4:00:40 PM,31975,474.8,278,41.1372990000,-77.5246580000,99.6999969,-0.18,none,303,16,-37,F,arrival,DFW,LGA
